candidate_id,layer_count,sources_per_layer_mean,radius,z_extent,angular_offset_fraction,orientation_alpha,eig_smooth_background,eig_center_weak_target,eig_eccentric_roi_target,eig_weighted,eig_weighted_minmax,eig_weighted_zscore
cand_0059,3,16.0,1.5295640582595342,0.5122692577979507,0.18660467265605257,0.264814236770462,3.2400403022766113,3.2742111682891846,3.3178553581237793,3.2764357268810276,0.3895594399275483,0.03098960717432273
cand_0215,2,24.0,1.5566723072219537,0.4134651057671218,0.3884406420896314,0.43511648620846866,3.2384424209594727,3.2760000228881836,3.316620349884033,3.276056468486786,0.3887958869491822,0.02749696129367074
cand_0023,2,24.0,1.5090027653601763,0.3180373393721344,0.2399315246908432,0.47561206027617714,3.2385222911834717,3.2746522426605225,3.314887762069702,3.275083303451538,0.3868366341748541,0.018534942513970986
cand_0102,4,12.0,1.3842545528968346,0.15240024890454698,0.7762457681958955,0.024952300045751174,3.2389075756073,3.2666327953338623,3.322037696838379,3.274935561418533,0.3865391882355062,0.017174364578693927
cand_0075,2,24.0,1.4593337689862678,0.16302068662994257,0.13102248564403038,0.6670877080196901,3.2370188236236572,3.266995429992676,3.3147811889648438,3.272033989429474,0.3806975141477915,-0.009546635164148685
cand_0232,2,24.0,1.547733522594609,0.390146201149543,0.2877319147480827,0.5450902614777952,3.231440544128418,3.2689449787139893,3.309602737426758,3.269032198190689,0.37465407074454016,-0.03719056859819241
cand_0031,3,16.0,1.5240229027319905,0.46700524714054537,0.588641281644291,0.36784986757633376,3.2302305698394775,3.2637839317321777,3.3077070713043213,3.2663152754306797,0.36918414708063896,-0.06221110665317533
cand_0226,2,24.0,1.4793985278926258,0.18829320618113365,0.2850998252520759,0.9898669069074562,3.229663848876953,3.261415719985962,3.3048319816589355,3.2644128501415253,0.3653540341083017,-0.07973081867615826
cand_0036,2,24.0,1.6939896951824454,0.5980185732995908,0.4202014579369607,0.9192875481858672,3.225468635559082,3.2635982036590576,3.3004143238067627,3.26221809387207,0.36093537729865854,-0.09994264934341372
cand_0212,2,24.0,1.5079663676342328,0.27437379699213105,0.6462147488571667,0.1110487243642864,3.223663568496704,3.2583959102630615,3.3034932613372803,3.260896229743958,0.3582740959471056,-0.1121158889392397
cand_0047,4,12.0,1.4494271877584535,0.39870317748389844,0.1084007990290871,0.7168968733719601,3.2250051498413086,3.2589728832244873,3.299821138381958,3.2603598594665533,0.3571942329063989,-0.11705540107219342
cand_0073,4,12.0,1.4231082658690124,0.3566324836994113,0.0941968510256906,0.45768337228722006,3.2238330841064453,3.257265329360962,3.300244092941284,3.259532141685486,0.3555278060412952,-0.1246779748695827
cand_0131,1,48.0,1.3856323697953772,0.0,0.848010228521833,0.9258048543413379,3.2253663539886475,3.25235915184021,3.2987794876098633,3.2579982817173008,0.35243971790696077,-0.1388035150836393
cand_0081,4,12.0,1.4176436035478763,0.21169931665293265,0.4217351485781384,0.4687976706988526,3.2213499546051025,3.2514138221740723,3.2978529930114746,3.255984199047089,0.34838480746894435,-0.15735149621790936
cand_0126,1,48.0,1.381622825147689,0.0,0.5692753370084347,0.7506271934192977,3.2228009700775146,3.249652862548828,3.297424077987671,3.255780345201492,0.3479743927930396,-0.15922881602121255
cand_0166,3,16.0,1.5147541786558745,0.3995705922338434,0.76835751174144,0.19630817039550033,3.2176177501678467,3.251356840133667,3.297872543334961,3.2546657621860504,0.34573042616237787,-0.16949317361126706
cand_0176,4,12.0,1.5197051367819996,0.46888137906505045,0.2009580561017623,0.6580951817285763,3.2185850143432617,3.251598358154297,3.2939441204071045,3.2538060605525976,0.3439996068774372,-0.17741029137123776
cand_0187,1,48.0,1.3895677966177964,0.0,0.6202309493965128,0.8589645690030755,3.2202632427215576,3.247204542160034,3.294154644012451,3.2530338704586033,0.34244497274122226,-0.18452150259772107
cand_0026,3,16.0,1.4956025669748927,0.3933024363001749,0.6393631145842295,0.44212242501472765,3.2170684337615967,3.250633716583252,3.2936460971832275,3.252864891290665,0.3421047705231038,-0.18607765640677654
cand_0239,2,24.0,1.498704585919351,0.21445449089495883,0.4440209170338945,0.27999498634228026,3.2163822650909424,3.2489349842071533,3.2959322929382324,3.25281565785408,0.3420056498768363,-0.18653105430670297
